,sentyr,judgeid,disparity_sex,nocounts_disparity,gender,x_black,x_dem,aba_best,christian
3578,2005,"ZILLY, THOMAS S.",0.036375727504491806,0.24242424964904785,1.0,0.0,0.0,1.0,0.0
2199,2005,"MILLER, JEFFREY T.",0.05711059644818306,1.034482717514038,1.0,0.0,1.0,0.0,0.0
2799,2005,"SCHREIER, KAREN E.",0.07182841002941132,0.3636363744735718,0.0,0.0,1.0,0.0,0.0
417,2008,"CAMP, JACK T., JR.",0.13207077980041504,-3.4017858505249023,1.0,0.0,0.0,0.0,1.0
227,2005,"BLAKE, CATHERINE C.",0.04027380794286728,0.529411792755127,0.0,0.0,1.0,1.0,0.0
1340,2009,"HAMILTON, JEAN C.",-0.02239076979458332,0.26241135597229004,0.0,0.0,0.0,1.0,1.0
140,2011,"BATTANI, MARIANNE O.",-0.026264971122145653,0.2857142686843872,0.0,0.0,1.0,1.0,0.0
1522,2004,"HUDSON, HENRY E.",0.044271744787693024,-2.16304349899292,1.0,0.0,0.0,1.0,0.0
620,2008,"CONNER, CHRISTOPHER C.",-0.28494665026664734,0.36666667461395264,1.0,0.0,0.0,1.0,0.0
20,2004,"AFRICK, LANCE M.",0.04333333671092987,-0.13333332538604736,1.0,0.0,0.0,1.0,0.0
2175,2010,"MESSITTE, PETER J.",0.027903756126761436,0.5833332538604736,1.0,0.0,1.0,1.0,0.0
3452,2008,"WILLIAMS, GLEN M.",-0.2600221037864685,-1.4444444179534912,1.0,0.0,0.0,1.0,1.0
686,2005,"CRABB, BARBARA B.",0.05034149810671806,0.11111116409301758,0.0,0.0,1.0,0.0,1.0
2394,2006,"NUGENT, DONALD C.",-0.012242691591382027,0.59375,1.0,0.0,1.0,1.0,0.0
3054,2008,"STEARNS, RICHARD G.",0.02484177239239216,-6.699999809265137,1.0,0.0,1.0,1.0,1.0
1639,2004,"JORGENSON, CINDY K.",0.06816333532333374,0.21590912342071533,0.0,0.0,0.0,1.0,0.0
2519,2006,"PONSOR, MICHAEL A.",0.0016858220333233476,0.4347825050354004,1.0,0.0,1.0,1.0,1.0
930,2007,"ELLISON, KEITH P.",1.1462432114583976e-09,-24.66666603088379,1.0,0.0,1.0,0.0,0.0
800,2005,"DER-YEGHIAYAN, SAMUEL",-2.2013078027072197e-09,0.3636363744735718,1.0,0.0,0.0,0.0,0.0
984,2003,"FARNAN, JOSEPH J., JR.",-0.03916764631867409,2.0,1.0,0.0,0.0,0.0,0.0
2196,2006,"MILLER, JEFFREY T.",0.10127733647823334,0.5,1.0,0.0,1.0,0.0,0.0
1624,2011,"JONES, JOHN E., III",0.18597842752933502,0.10000002384185791,1.0,0.0,0.0,1.0,0.0
2938,2005,"SIRAGUSA, CHARLES J.",0.10697513818740845,0.4444444179534912,1.0,0.0,1.0,1.0,0.0
1093,2008,"FULLAM, JOHN P.",0.030726121738553047,0.16666674613952637,1.0,0.0,1.0,1.0,0.0
2353,2004,"NANGLE, JOHN F.",0.18656553328037262,0.384615421295166,1.0,0.0,0.0,0.0,1.0
1336,2006,"HALL, JANET C.",0.03081250563263893,0.0625,0.0,0.0,1.0,1.0,0.0
2071,2009,"MCAVOY, THOMAS J.",0.009361857548356056,-0.12037038803100586,1.0,0.0,0.0,1.0,0.0
472,2009,"CARTER, DAVID O.",0.132619246840477,0.2115384340286255,1.0,0.0,1.0,0.0,1.0
1389,2007,"HELLERSTEIN, ALVIN K.",-2.270098775625229e-09,0.25,1.0,0.0,1.0,1.0,0.0
3484,2004,"WOLF, MARK L.",0.06736579537391663,3.1470589637756348,1.0,0.0,0.0,0.0,0.0
2810,2006,"SCOTT, JEANNE E.",0.02550029195845127,0.20581114292144775,0.0,0.0,1.0,0.0,0.0
2016,2003,"MARRERO, VICTOR",0.1692621409893036,0.6666666269302368,1.0,0.0,1.0,0.0,0.0
1504,2003,"HOWARD, MALCOLM J.",0.29869258403778076,-0.17647063732147217,1.0,0.0,0.0,0.0,1.0
2206,2011,"MILLER, ROBERT L., JR.",0.08066119253635406,-0.32275140285491943,1.0,0.0,0.0,0.0,1.0
928,2009,"ELLISON, KEITH P.",0.044236116111278534,-8.833333015441895,1.0,0.0,1.0,0.0,0.0
2272,2008,"MOON, NORMAN K.",-0.0015229220734909177,0.365384578704834,1.0,0.0,1.0,1.0,1.0
2503,2009,"POLOZOLA, FRANK J.",-0.008126027882099152,-1.2857142686843872,1.0,0.0,1.0,1.0,0.0
217,2004,"BLACK, BRUCE D.",0.09661969542503357,-0.09574472904205322,1.0,0.0,1.0,0.0,1.0
1326,2004,"HAGGERTY, ANCER L.",0.34621432423591614,0.17073166370391846,1.0,1.0,1.0,1.0,1.0
1935,2004,"LODGE, EDWARD J.",0.08812529593706131,-0.04918026924133301,1.0,0.0,0.0,0.0,0.0
282,2004,"BRACK, ROBERT C.",-0.06676924228668213,0.14285719394683838,1.0,0.0,0.0,1.0,0.0
896,2003,"DUGGAN, PATRICK J.",0.0049994937144219875,0.0,1.0,0.0,0.0,1.0,0.0
3087,2010,"STENGEL, LAWRENCE F.",0.06544345617294312,0.904761791229248,1.0,0.0,0.0,1.0,0.0
2769,2010,"SCHELL, RICHARD A.",0.0847078189253807,0.23789167404174805,1.0,0.0,0.0,0.0,1.0
1574,2003,"ISHII, ANTHONY W.",0.04367588460445404,0.22727274894714355,1.0,0.0,1.0,1.0,0.0
2360,2003,"NEVAS, ALAN H.",0.2408035695552826,0.7142857313156128,1.0,0.0,0.0,1.0,0.0
1400,2008,"HERLONG, HENRY M., JR.",-0.0962309017777443,-0.625,1.0,0.0,0.0,1.0,1.0
131,2009,"BATES, JOHN D.",-0.07710372656583786,0.2999999523162842,1.0,0.0,0.0,1.0,0.0
846,2006,"DONALD, BERNICE B.",0.09086489677429199,-0.7803031206130981,0.0,1.0,1.0,0.0,1.0
3292,2005,"URBINA, RICARDO M.",-4.063953173982782e-09,-0.5,1.0,0.0,1.0,1.0,0.0
1392,2010,"HERLONG, HENRY M., JR.",0.00963394995778799,0.19696974754333496,1.0,0.0,0.0,1.0,1.0
2145,2004,"MCLAUGHLIN, SEAN J.",0.05434413626790047,0.27272725105285645,1.0,0.0,1.0,0.0,0.0
859,2008,"DOTY, DAVID S.",0.12322038412094116,0.039999961853027344,1.0,0.0,0.0,1.0,1.0
3328,2005,"VOORHEES, RICHARD L.",0.0026599892880767584,0.5647058486938477,1.0,0.0,0.0,0.0,1.0
2992,2005,"SNYDER, CHRISTINA A.",0.08089926093816757,0.3636363744735718,0.0,0.0,1.0,0.0,0.0
3360,2006,"WALTER, DONALD E.",-0.089906245470047,0.25,1.0,0.0,0.0,0.0,0.0
1813,2003,"KRIEGER, MARCIA S.",-0.005833332426846027,0.31578946113586426,0.0,0.0,0.0,1.0,0.0
2919,2005,"SIMPSON, CHARLES R., III",0.020591268315911293,1.5238094329833984,1.0,0.0,0.0,0.0,0.0
3339,2011,"VRATIL, KATHRYN H.",0.033795762807130814,-0.6666667461395264,0.0,0.0,0.0,0.0,1.0
729,2010,"DARRAH, JOHN W.",0.36015623807907104,0.4375,1.0,0.0,1.0,0.0,0.0
2084,2009,"MCBRYDE, JOHN H.",-0.010946995578706264,-0.8400000333786011,1.0,0.0,0.0,1.0,1.0
3146,2009,"TAGLE, HILDA G.",0.1047806665301323,0.16279065608978271,0.0,0.0,1.0,0.0,1.0
1236,2009,"GOTTSCHALL, JOAN B.",-0.00039808452129364014,0.923076868057251,0.0,0.0,1.0,0.0,1.0
1539,2005,"HUNT, ROGER L.",0.0357985645532608,-0.08888888359069824,1.0,0.0,1.0,1.0,1.0
2676,2011,"ROGERS, RICHARD D.",-0.06383924186229706,0.0,1.0,0.0,0.0,0.0,1.0
3161,2007,"TAURO, JOSEPH L.",0.0008294913568533957,-3.5999999046325684,1.0,0.0,0.0,0.0,0.0
1466,2009,"HOGAN, THOMAS F.",0.007251965347677469,0.0,1.0,0.0,0.0,0.0,0.0
1016,2005,"FIGA, PHILLIP S.",2.0954757373736754e-10,0.06896555423736572,1.0,0.0,0.0,1.0,0.0
581,2004,"COHN, JAMES I.",0.1318790167570114,2.1395349502563477,1.0,0.0,0.0,1.0,0.0
3214,2003,"TINDER, JOHN D.",-0.29811885952949524,-3.375,1.0,0.0,0.0,0.0,0.0
975,2011,"EZRA, DAVID A.",0.011271047405898571,-0.16666674613952637,1.0,0.0,0.0,0.0,0.0
2270,2004,"MOON, NORMAN K.",0.051554493606090546,0.6129032373428345,1.0,0.0,1.0,1.0,1.0
541,2005,"CLELAND, ROBERT H.",0.19407734274864197,-4.609195709228516,1.0,0.0,0.0,0.0,1.0
508,2007,"CEBULL, RICHARD F.",0.05809178575873375,0.9454925060272217,1.0,0.0,0.0,1.0,0.0
2181,2006,"MICKLE, STEPHAN P.",0.012093406170606613,-0.3095238208770752,1.0,1.0,1.0,0.0,1.0
436,2008,"CAMPBELL, TENA",0.10742903500795364,0.2592592239379883,0.0,0.0,1.0,1.0,0.0
2112,2007,"MCDADE, JOE B.",0.14621230959892273,-1.2280701398849487,1.0,1.0,0.0,1.0,0.0
996,2010,"FAWSETT, PATRICIA C.",-0.5246295928955078,0.0,0.0,0.0,0.0,1.0,1.0
259,2006,"BOYKO, CHRISTOPHER A.",0.04538998380303383,0.9301073551177979,1.0,0.0,0.0,1.0,0.0
2513,2005,"POLSTER, DAN A.",0.013652918860316277,-1.25,1.0,0.0,1.0,1.0,0.0
195,2010,"BERMAN, RICHARD M.",0.0431327149271965,0.16666662693023682,1.0,0.0,1.0,0.0,0.0
1417,2004,"HICKS, LARRY R.",-0.00884130597114563,0.1944444179534912,1.0,0.0,0.0,1.0,0.0
2465,2003,"PEREZ-GIMENEZ, JUAN M.",0.05000303313136101,0.4285714626312256,1.0,0.0,1.0,1.0,0.0
163,2007,"BEATY, JAMES A., JR.",0.050941213965415955,0.22139310836791992,1.0,1.0,1.0,1.0,1.0
2755,2009,"SAVAGE, TIMOTHY J.",0.02691376768052578,1.0555555820465088,1.0,0.0,0.0,1.0,0.0
3273,2003,"TURK, JAMES C.",0.17689277231693268,0.7999999523162842,1.0,0.0,0.0,0.0,1.0
260,2009,"BOYKO, CHRISTOPHER A.",0.09681771695613861,0.17647063732147217,1.0,0.0,0.0,1.0,0.0
2870,2005,"SHAW, CHARLES A.",-0.16734206676483154,0.9803920984268188,1.0,1.0,1.0,1.0,1.0
1082,2008,"FRIOT, STEPHEN P.",0.043147843331098557,0.3200000524520874,1.0,0.0,0.0,1.0,0.0
366,2005,"BUNNING, DAVID L.",0.03091985359787941,1.0857142210006714,1.0,0.0,0.0,0.0,0.0
3363,2007,"WALTER, DONALD E.",-0.0045357574708759785,0.23809528350830078,1.0,0.0,0.0,0.0,0.0
3514,2005,"WOOTEN, TERRY L.",0.0030502011068165302,0.4623376131057739,1.0,0.0,0.0,1.0,0.0
2475,2005,"PHILLIPS, THOMAS W.",0.10651849210262299,-7.451612949371338,1.0,0.0,0.0,1.0,0.0
1127,2004,"GARCIA, EDWARD J.",0.007435020059347153,0.4714285135269165,1.0,0.0,0.0,0.0,0.0
407,2006,"CALDWELL, KAREN K.",-0.02339005284011364,0.6666666269302368,0.0,0.0,0.0,0.0,0.0
3506,2005,"WOODLOCK, DOUGLAS P.",0.06170450150966644,-17.0,1.0,0.0,0.0,0.0,1.0
841,2010,"DOMINGUEZ, DANIEL R.",0.22560445964336395,0.6666666269302368,1.0,0.0,1.0,0.0,0.0
2079,2007,"MCBRYDE, JOHN H.",0.05126305669546127,-0.021212100982666016,1.0,0.0,0.0,1.0,1.0
1904,2010,"LEONARD, TIMOTHY D.",0.06597532331943512,-0.2999999523162842,1.0,0.0,0.0,1.0,1.0
2011,2008,"MARRERO, VICTOR",0.1480216085910797,1.7222223281860352,1.0,0.0,1.0,0.0,0.0
1653,2011,"JUNELL, ROBERT A.",0.012794187292456627,-0.022580742835998535,1.0,0.0,0.0,0.0,0.0
2059,2009,"MAXWELL, ROBERT E.",-0.07159684598445892,0.0,1.0,0.0,1.0,0.0,0.0
2590,2011,"READE, LINDA R.",0.07216302305459976,-0.13773584365844727,0.0,0.0,0.0,1.0,0.0
2634,2009,"ROBERTS, VICTORIA A.",-0.06545455753803253,0.09090912342071533,0.0,1.0,1.0,1.0,0.0
246,2004,"BOWDRE, KARON O.",-0.027119623497128487,0.3250000476837158,0.0,0.0,0.0,0.0,0.0
2057,2010,"MAXWELL, ROBERT E.",-0.10039683431386948,0.0,1.0,0.0,1.0,0.0,0.0
1591,2008,"JAMES, ROBERT G.",0.01123790442943573,-0.4722222089767456,1.0,0.0,1.0,0.0,0.0
1199,2008,"GILLMOR, HELEN W.",0.07670597732067108,-0.24186038970947266,0.0,0.0,1.0,0.0,1.0
326,2004,"BRODY, ANITA B.",0.021390091627836227,-3.53125,0.0,0.0,0.0,0.0,0.0
2981,2008,"SMITH, WALTER S., JR.",0.11947804689407349,0.1538461446762085,1.0,0.0,0.0,1.0,1.0
2785,2010,"SCHLESINGER, HARVEY E.",-0.04285714402794838,0.16666662693023682,1.0,0.0,0.0,1.0,0.0
2158,2005,"MCVERRY, TERRENCE F.",0.07666666805744171,0.8636363744735718,1.0,0.0,0.0,1.0,0.0
2910,2007,"SIMON, PHILIP P.",0.07888602465391159,0.05714285373687744,1.0,0.0,0.0,1.0,0.0
3362,2008,"WALTER, DONALD E.",2.031976586991391e-09,0.27272725105285645,1.0,0.0,0.0,0.0,0.0
2178,2007,"MESSITTE, PETER J.",0.0024633719585835934,-0.20588231086730957,1.0,0.0,1.0,1.0,0.0
1331,2007,"HALL, JANET C.",3.887259403256849e-09,0.47826087474823,0.0,0.0,1.0,1.0,0.0
589,2006,"COLLIER, CURTIS L.",0.001744524692185223,-0.7790262699127197,1.0,1.0,1.0,1.0,1.0
2156,2004,"MCNAMEE, STEPHEN M.",0.1628345400094986,11.411765098571777,1.0,0.0,0.0,0.0,0.0
1254,2010,"GRAHAM, JAMES L.",0.05666234716773033,0.2608696222305298,1.0,0.0,0.0,0.0,1.0
1138,2008,"GARCIA-GREGORY, JAY A.",0.1211153119802475,-0.384615421295166,1.0,0.0,1.0,0.0,0.0
1223,2009,"GOLD, ALAN S.",-0.240813747048378,0.09090900421142578,1.0,0.0,1.0,1.0,0.0
681,2008,"CRABB, BARBARA B.",0.0024757192004472017,0.44290125370025635,0.0,0.0,1.0,0.0,1.0
2243,2008,"MONTALVO, FRANK",0.1664409190416336,0.008333325386047363,1.0,0.0,0.0,1.0,0.0
1747,2010,"KISER, JACKSON L.",0.03213581442832947,0.3333333730697632,1.0,0.0,0.0,1.0,1.0
2218,2005,"MILLS, MICHAEL P.",0.03205247223377228,0.09999990463256836,1.0,0.0,0.0,0.0,0.0
2543,2008,"PRESNELL, GREGORY A.",0.02430923469364643,0.24000000953674316,1.0,0.0,1.0,1.0,0.0
43,2005,"ALBRITTON, WILLIAM H., III",-0.02388940379023552,0.3841463327407837,1.0,0.0,0.0,1.0,1.0
2918,2007,"SIMPSON, CHARLES R., III",0.057666175067424774,1.1500000953674316,1.0,0.0,0.0,0.0,0.0
1912,2006,"LEVI, DAVID F.",0.06750784069299698,-2.0151515007019043,1.0,0.0,0.0,0.0,0.0
1838,2009,"LAND, CLAY D.",0.011574073694646358,0.2777777910232544,1.0,0.0,0.0,1.0,0.0
941,2011,"ENGELHARDT, KURT D.",0.027049966156482697,0.3636363744735718,1.0,0.0,0.0,0.0,0.0
2540,2008,"PRESKA, LORETTA A.",2.5399706782280873e-09,0.27272725105285645,0.0,0.0,0.0,1.0,0.0
1360,2006,"HARRINGTON, EDWARD F.",0.0,-15.0,1.0,0.0,0.0,0.0,0.0
861,2009,"DOTY, DAVID S.",0.014644142240285873,0.06896555423736572,1.0,0.0,0.0,1.0,1.0
2204,2007,"MILLER, ROBERT L., JR.",0.08390600979328156,-4.261904716491699,1.0,0.0,0.0,0.0,1.0
2436,2003,"PANNER, OWEN M.",-4.967053879312289e-09,-1.0,1.0,0.0,1.0,1.0,1.0
1378,2006,"HEATON, JOE L.",0.0008373645250685513,-0.7246376276016235,1.0,0.0,0.0,1.0,0.0
3066,2003,"STEELE, JOHN E.",0.15780824422836304,0.20000004768371582,1.0,0.0,1.0,1.0,0.0
698,2005,"CROW, SAM A.",0.046059750020504,0.27272725105285645,1.0,0.0,0.0,0.0,1.0
2448,2006,"PAULEY, WILLIAM H., III",-0.0012094097910448909,0.611111044883728,1.0,0.0,1.0,1.0,1.0
2578,2008,"RANDA, RUDOLPH T.",-0.029601939022541046,0.3684210777282715,1.0,0.0,0.0,0.0,0.0
498,2010,"CAVANAUGH, DENNIS M.",0.1835630089044571,-0.23684215545654297,1.0,0.0,1.0,1.0,0.0
1669,2003,"KANE, YVETTE",0.014772716909646988,0.09090912342071533,0.0,0.0,1.0,0.0,1.0
233,2005,"BLOCK, FREDERIC",0.008039065636694431,0.4166666269302368,1.0,0.0,1.0,1.0,1.0
864,2010,"DOTY, DAVID S.",0.06309393048286438,0.3571428060531616,1.0,0.0,0.0,1.0,1.0
1369,2009,"HAYES, WILLIAM Q.",0.0344364270567894,0.375,1.0,0.0,0.0,0.0,0.0
2801,2010,"SCHREIER, KAREN E.",-0.0416712611913681,0.03278684616088867,0.0,0.0,1.0,0.0,0.0
1022,2006,"FITZPATRICK, DUROSS",0.06165912374854088,0.23913037776947021,1.0,0.0,0.0,1.0,1.0
3438,2006,"WHITE, RONALD A.",1.6556845894299954e-09,1.0,1.0,0.0,0.0,0.0,0.0
297,2009,"BRIMMER, CLARENCE A., JR.",0.04848819598555565,0.2967480421066284,1.0,0.0,0.0,0.0,1.0
2182,2007,"MICKLE, STEPHAN P.",0.06180378049612045,0.18840575218200684,1.0,1.0,1.0,0.0,1.0
2282,2004,"MOORE, WILLIAM T., JR.",0.0077805789187550545,-0.46666669845581055,1.0,0.0,1.0,0.0,1.0
175,2003,"BEISTLINE, RALPH R.",-0.04190477356314659,-0.5,1.0,0.0,0.0,0.0,0.0
242,2005,"BOWDRE, KARON O.",0.08581730723381042,0.19607841968536377,0.0,0.0,0.0,0.0,0.0
495,2010,"CAUTHRON, ROBIN J.",0.034177932888269424,-1.3636363744735718,0.0,0.0,0.0,1.0,1.0
1238,2005,"GOTTSCHALL, JOAN B.",0.07382145524024963,0.05555558204650879,0.0,0.0,1.0,0.0,1.0
3205,2007,"THRASH, THOMAS W., JR.",0.15873457491397858,8.914285659790039,1.0,0.0,1.0,1.0,1.0
1630,2007,"JONES, JOHN E., III",0.09699602425098419,0.23529410362243652,1.0,0.0,0.0,1.0,0.0
1823,2006,"LAFFITTE, HECTOR M.",0.014892988838255405,0.15217387676239014,1.0,0.0,0.0,1.0,0.0
4,2003,"ADAMS, JOHN R.",0.023258579894900322,0.3125,1.0,0.0,0.0,0.0,0.0
2588,2003,"READE, LINDA R.",-0.1982559859752655,0.48648643493652344,0.0,0.0,0.0,1.0,0.0
3187,2004,"THOMPSON, MYRON H.",0.10345452278852463,-1.2333332300186157,1.0,1.0,1.0,0.0,1.0
1655,2011,"KAHN, LAWRENCE E.",2.9802322831784522e-09,0.20000004768371582,1.0,0.0,1.0,0.0,0.0
1914,2003,"LIFLAND, JOHN C.",-0.25398188829421997,0.0,1.0,0.0,0.0,1.0,0.0
2526,2003,"PRATT, ROBERT W.",0.3067638874053955,0.4166666269302368,1.0,0.0,1.0,0.0,0.0
3208,2003,"THRASH, THOMAS W., JR.",2.4835269396561444e-09,0.6666666269302368,1.0,0.0,1.0,1.0,1.0
2107,2003,"MCDADE, JOE B.",0.016496600583195686,-12.785714149475098,1.0,1.0,0.0,1.0,0.0
3206,2011,"THRASH, THOMAS W., JR.",0.14987654983997345,-0.18965518474578857,1.0,0.0,1.0,1.0,1.0
919,2010,"EDMUNDS, NANCY G.",0.0668397843837738,0.3571428060531616,0.0,0.0,0.0,1.0,0.0
3021,2003,"SQUATRITO, DOMINIC J.",1.8626451769865326e-10,0.0,1.0,0.0,1.0,1.0,0.0
1767,2009,"KORMAN, EDWARD R.",0.0,-0.875,1.0,0.0,0.0,1.0,0.0
3424,2004,"WHITE, JEFFREY S.",0.0533333346247673,0.3999999761581421,1.0,0.0,0.0,0.0,0.0
2899,2003,"SHUBB, WILLIAM B.",-0.010310053825378418,-0.0666666030883789,1.0,0.0,0.0,1.0,1.0
15,2006,"AFRICK, LANCE M.",-0.00947018526494503,0.36904776096343994,1.0,0.0,0.0,1.0,0.0
1956,2009,"LUNGSTRUM, JOHN W.",0.012632672674953938,0.19333338737487793,1.0,0.0,0.0,1.0,1.0
2751,2008,"SARIS, PATTI B.",5.503269506768049e-10,-0.6904761791229248,0.0,0.0,1.0,0.0,0.0
1043,2010,"FOLSOM, DAVID",0.010961247608065605,0.3333333730697632,1.0,0.0,1.0,1.0,0.0
1571,2004,"ISHII, ANTHONY W.",-0.0625847801566124,0.2954545021057129,1.0,0.0,1.0,1.0,0.0
2453,2009,"PECHMAN, MARSHA J.",0.01675126701593399,0.5304877758026123,0.0,0.0,1.0,0.0,0.0
254,2008,"BOWEN, DUDLEY H., JR.",0.043736863881349564,0.5185185670852661,1.0,0.0,1.0,0.0,1.0
90,2010,"ARCARA, RICHARD J.",0.02919524721801281,0.15352106094360352,1.0,0.0,0.0,1.0,0.0
2096,2005,"MCCALLA, JON P.",0.06629791855812073,-3.2750000953674316,1.0,0.0,0.0,1.0,1.0
990,2006,"FAWSETT, PATRICIA C.",0.0,0.5,0.0,0.0,0.0,1.0,1.0
3310,2011,"VARLAN, THOMAS A.",0.048729777336120605,-0.5481727123260498,1.0,0.0,0.0,0.0,0.0
1030,2007,"FLANAGAN, LOUISE W.",0.08174430578947067,-15.300000190734863,0.0,0.0,0.0,0.0,0.0
2228,2011,"MILLS, RICHARD H.",0.12285393476486206,0.46666669845581055,1.0,0.0,0.0,1.0,1.0
2964,2011,"SMITH, GEORGE C.",0.0,0.16666662693023682,1.0,0.0,0.0,1.0,1.0
1385,2007,"HEATON, JOE L.",0.043391257524490356,0.42592597007751465,1.0,0.0,0.0,1.0,0.0
1424,2004,"HIGHSMITH, SHELBY",0.1604914516210556,-0.23076915740966797,1.0,0.0,0.0,1.0,1.0
8,2007,"ADELMAN, LYNN S.",0.05243101343512535,0.37837839126586914,1.0,0.0,1.0,0.0,0.0
2328,2006,"MULLEN, GRAHAM C.",-0.005987812764942646,-0.9051724672317505,1.0,0.0,0.0,1.0,1.0
1790,2010,"KOSIK, EDWIN M.",-0.0022211866453289986,0.192307710647583,1.0,0.0,0.0,1.0,0.0
357,2004,"BULLOCK, FRANK W., JR.",0.10553337633609772,-0.14864861965179443,1.0,0.0,0.0,0.0,1.0
514,2004,"CERCONE, DAVID S.",0.04942262917757034,-22.35714340209961,1.0,0.0,0.0,0.0,0.0
3534,2008,"YOUNG, RICHARD L.",0.09439054876565933,-1.023809552192688,1.0,0.0,1.0,1.0,0.0
3389,2011,"WATSON, MICHAEL H.",-1.490116086078075e-10,0.6000000238418579,1.0,0.0,0.0,0.0,0.0
632,2011,"CONWAY, JOHN E.",0.05896168202161789,-0.9166666269302368,1.0,0.0,0.0,1.0,1.0
1580,2004,"JACKSON, RAYMOND A.",0.07065900415182114,0.5405405759811401,1.0,1.0,1.0,1.0,1.0
317,2007,"BRIONES, DAVID",-0.040233492851257324,-0.746268630027771,1.0,0.0,1.0,0.0,0.0
66,2011,"ANDERSON, JOSEPH F., JR.",-0.00455150380730629,0.6000000238418579,1.0,0.0,0.0,0.0,1.0
1541,2009,"HUNT, ROGER L.",0.028794458135962486,-3.1666665077209473,1.0,0.0,1.0,1.0,1.0
922,2009,"EGINTON, WARREN W.",0.051466070115566254,0.0,1.0,0.0,1.0,1.0,1.0
1376,2010,"HEARTFIELD, THAD",0.1654842346906662,0.09090912342071533,1.0,0.0,1.0,1.0,0.0
1180,2010,"GEX, WALTER J., III",0.06871142983436584,-5.916666507720947,1.0,0.0,0.0,0.0,0.0
715,2004,"DANIEL, WILEY Y.",0.09171994775533676,-1.7417583465576172,1.0,1.0,1.0,0.0,1.0
2557,2005,"PROPST, ROBERT B.",-1.6298145055770874e-09,-2.25,1.0,0.0,1.0,0.0,1.0
692,2008,"CRONE, MARCIA A.",0.08060571551322937,-0.039092063903808594,0.0,0.0,0.0,0.0,0.0
1115,2009,"GAITAN, FERNANDO J., JR.",0.0047692591324448586,-0.8529411554336548,1.0,1.0,0.0,1.0,1.0
3465,2010,"WILSON, STEPHEN V.",-2.660921760710977e-10,0.3333333730697632,1.0,0.0,0.0,1.0,0.0
652,2008,"COOPER, FLORENCE-MARIE",-0.036873068660497665,0.7777777910232544,0.0,0.0,1.0,1.0,0.0
3126,2011,"SUKO, LONNY R.",-0.15859262645244598,0.3461538553237915,1.0,0.0,0.0,1.0,0.0
1573,2008,"ISHII, ANTHONY W.",0.03764987736940384,0.7000000476837158,1.0,0.0,1.0,1.0,0.0
523,2003,"CHATIGNY, ROBERT N.",-0.0875496044754982,0.0,1.0,0.0,1.0,1.0,0.0
47,2004,"ALLEY, WAYNE E.",2.9802322831784522e-09,0.2999999523162842,1.0,0.0,0.0,0.0,1.0
3505,2008,"WOODLOCK, DOUGLAS P.",-0.01113775372505188,-14.14285659790039,1.0,0.0,0.0,0.0,1.0
2847,2003,"SHABAZ, JOHN C.",0.04623553156852722,0.7894736528396606,1.0,0.0,0.0,0.0,1.0
74,2005,"ANDERSON, PERCY",1.0643687042843908e-09,0.5714285373687744,1.0,1.0,0.0,1.0,0.0
2038,2010,"MARTINEZ, RICARDO S.",0.26515084505081177,-2.769230842590332,1.0,0.0,0.0,1.0,0.0
2117,2005,"MCKIBBEN, HOWARD D.",0.09117449074983597,-0.3440859317779541,1.0,0.0,0.0,1.0,1.0
